               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.023286,            0.010559,           0.0013685,             0.94014,             0.88531,             0.92151,             0.60843,            0.027662,           0.0082224,           0.0028187,          0.00095307,          0.00095307,          0.00095307
                  46,            0.022488,            0.010425,           0.0014786,             0.95059,             0.89505,             0.92072,             0.58408,            0.030269,           0.0088181,            0.002977,          0.00095095,          0.00095095,          0.00095095
                  47,            0.023123,           0.0098445,           0.0011714,             0.95206,             0.90605,             0.92085,              0.5909,            0.028849,           0.0087528,           0.0023294,          0.00094879,          0.00094879,          0.00094879
                  48,             0.02286,           0.0099528,           0.0012104,             0.95234,               0.887,             0.91289,             0.59478,            0.028881,           0.0085613,           0.0020394,          0.00094659,          0.00094659,          0.00094659
                  49,            0.022891,            0.010505,          0.00097262,             0.93374,             0.91424,             0.92774,              0.5941,            0.029392,           0.0086742,           0.0022373,          0.00094434,          0.00094434,          0.00094434
                  50,            0.022842,           0.0098168,           0.0010098,             0.96339,             0.88961,             0.90816,             0.58488,            0.028555,           0.0090146,           0.0027195,          0.00094205,          0.00094205,          0.00094205
                  51,            0.023731,            0.010238,           0.0010776,               0.962,             0.90748,             0.92341,             0.58064,            0.030612,           0.0090465,           0.0027027,          0.00093971,          0.00093971,          0.00093971
                  52,            0.022655,           0.0099164,           0.0011326,             0.95431,             0.89673,             0.92393,             0.59142,            0.029761,           0.0087885,           0.0030019,          0.00093733,          0.00093733,          0.00093733
                  53,            0.022378,            0.010115,           0.0011091,             0.94145,             0.89059,             0.91465,             0.59093,            0.029795,           0.0090118,           0.0031141,          0.00093491,          0.00093491,          0.00093491
                  54,            0.021552,            0.009356,           0.0011267,             0.94353,             0.90947,             0.91967,             0.59777,            0.028155,           0.0086454,           0.0027492,          0.00093245,          0.00093245,          0.00093245
                  55,            0.022318,           0.0097748,          0.00099732,             0.95773,             0.88835,             0.92101,             0.62078,            0.028344,           0.0089179,           0.0021736,          0.00092995,          0.00092995,          0.00092995
                  56,            0.021451,           0.0097467,           0.0010178,             0.96083,             0.88979,             0.90654,                0.58,            0.030068,            0.009247,           0.0022682,           0.0009274,           0.0009274,           0.0009274
                  57,            0.021504,           0.0097128,           0.0011009,             0.94033,             0.90173,             0.91836,               0.581,            0.029562,           0.0089968,           0.0024147,          0.00092481,          0.00092481,          0.00092481
                  58,            0.021582,           0.0099171,          0.00096394,             0.94229,             0.87818,             0.90764,             0.59925,            0.030303,           0.0088397,           0.0020268,          0.00092219,          0.00092219,          0.00092219
                  59,            0.021901,            0.009731,           0.0010816,             0.94899,             0.86659,              0.9102,             0.59653,            0.029121,            0.008927,            0.002352,          0.00091952,          0.00091952,          0.00091952
                  60,            0.021225,           0.0094135,          0.00090063,             0.94033,             0.86661,             0.90986,             0.60158,            0.028775,            0.008778,           0.0022342,          0.00091681,          0.00091681,          0.00091681
                  61,             0.02141,           0.0095089,           0.0011077,             0.92292,              0.8975,             0.91501,             0.61394,            0.028597,           0.0087444,           0.0020201,          0.00091406,          0.00091406,          0.00091406
                  62,            0.021738,           0.0096415,           0.0011135,             0.94879,             0.87184,             0.90579,             0.60601,            0.028697,           0.0088516,           0.0022452,          0.00091127,          0.00091127,          0.00091127
                  63,            0.020131,           0.0097231,          0.00097586,             0.92472,             0.90988,             0.93372,             0.59349,            0.029525,           0.0090742,           0.0026615,          0.00090844,          0.00090844,          0.00090844
                  64,             0.02131,           0.0094714,           0.0010541,             0.90665,             0.89747,             0.91114,             0.59863,            0.028223,           0.0093593,           0.0028435,          0.00090557,          0.00090557,          0.00090557
                  65,            0.020381,           0.0094942,          0.00082189,             0.94202,             0.89136,             0.90983,             0.60569,            0.028435,           0.0089955,           0.0023347,          0.00090266,          0.00090266,          0.00090266
                  66,             0.02076,           0.0092929,          0.00083011,             0.94564,             0.87899,             0.91327,             0.60644,            0.028614,           0.0094172,           0.0026608,          0.00089972,          0.00089972,          0.00089972
                  67,             0.02039,            0.009286,          0.00085793,             0.95621,              0.8624,             0.91884,             0.61204,            0.028006,           0.0092539,           0.0029062,          0.00089673,          0.00089673,          0.00089673
                  68,            0.020364,           0.0091347,          0.00081183,             0.94004,             0.89839,             0.91931,             0.60963,            0.028693,           0.0092879,            0.002763,          0.00089371,          0.00089371,          0.00089371
                  69,            0.020409,           0.0089819,          0.00079193,             0.93979,             0.88441,             0.92107,             0.59662,            0.029099,           0.0089564,           0.0022677,          0.00089065,          0.00089065,          0.00089065
                  70,            0.020496,           0.0092738,          0.00094777,             0.92439,              0.8913,             0.92098,             0.61344,             0.02883,           0.0091779,            0.002602,          0.00088755,          0.00088755,          0.00088755
                  71,            0.020668,           0.0090623,           0.0009202,             0.90975,             0.92602,             0.92216,             0.60943,            0.028109,           0.0089306,           0.0025578,          0.00088442,          0.00088442,          0.00088442
                  72,            0.019866,           0.0088855,          0.00084948,             0.92855,             0.90988,             0.91671,             0.59006,             0.02964,           0.0088678,           0.0023032,          0.00088124,          0.00088124,          0.00088124
                  73,            0.020284,            0.008794,          0.00077023,              0.9249,             0.89134,             0.91927,             0.61189,            0.028263,           0.0090882,           0.0025025,          0.00087804,          0.00087804,          0.00087804
